Species;Gear;Station.ID;Replicate.number;Number.at.station;Weight.g;Biomass
Astarte;Dredge;1;1;10;0.332169529;3.321695294
Astarte;Dredge;1;1;10;0.392804322;3.92804322
Astarte;Dredge;1;1;10;0.199941182;1.99941182
Astarte;Dredge;1;1;10;0.276438404;2.764384039
Astarte;Dredge;1;1;10;0.174323321;1.743233209
Astarte;Dredge;1;1;10;0.276438404;2.764384039
Astarte;Dredge;1;1;10;0.437683877;4.376838768
Astarte;Dredge;1;1;10;0.213563802;2.13563802
Astarte;Dredge;1;1;10;0.563180573;5.631805732
Astarte;Dredge;1;1;10;0.348058536;3.480585359
Astarte;Dredge;1;1;10;2.141743277;21.41743277
Astarte;Dredge;1;1;10;0.437683877;4.376838768
Astarte;Dredge;1;1;10;0.276438404;2.764384039
Astarte;Dredge;1;1;10;0.880844123;8.808441229
Astarte;Dredge;1;1;10;0.437683877;4.376838768
Astarte;Dredge;1;1;10;0.332169529;3.321695294
Astarte;Dredge;1;1;10;0.510675713;5.106757135
Astarte;Dredge;1;1;10;0.510675713;5.106757135
Astarte;Dredge;1;1;10;0.74199887;7.419988698
Astarte;Dredge;1;1;10;0.510675713;5.106757135
Astarte;Dredge;1;1;10;0.308022661;3.080226605
Astarte;Dredge;1;1;10;0.332169529;3.321695294
Astarte;Dredge;1;1;10;1.449743236;14.49743236
Astarte;Dredge;1;1;10;0.563180573;5.631805732
Astarte;Dredge;1;1;10;0.710341972;7.103419724
Astarte;Dredge;1;1;10;0.213563802;2.13563802
Astarte;Dredge;1;1;10;0.199941182;1.99941182
Astarte;Dredge;1;1;10;0.294330876;2.943308758
Astarte;Dredge;1;1;10;0.091685032;0.916850321
Astarte;Dredge;1;1;10;0.091685032;0.916850321
Astarte;Dredge;1;1;10;1.608932646;16.08932646
Astarte;Dredge;1;1;10;0.174323321;1.743233209
Astarte;Dredge;1;1;10;0.303462845;3.034628447
Astarte;Dredge;1;1;10;1.298546238;12.98546238
Astarte;Dredge;1;1;10;0.437683877;4.376838768
Astarte;Dredge;1;1;10;0.880844123;8.808441229
Astarte;Dredge;1;1;10;0.649629547;6.496295474
Astarte;Dredge;1;1;10;0.308022661;3.080226605
Astarte;Dredge;1;1;10;0.811343854;8.11343854
Astarte;Dredge;1;1;10;0.332169529;3.321695294
Astarte;Dredge;1;1;10;0.710341972;7.103419724
Astarte;Dredge;1;1;10;0.213563802;2.13563802
Astarte;Dredge;1;1;10;0.482684119;4.826841185
Astarte;Dredge;1;1;10;0.615813737;6.158137369
Astarte;Dredge;1;1;10;0.148803723;1.488037226
Astarte;Dredge;1;1;10;0.710341972;7.103419724
Astarte;Dredge;1;1;10;0.482684119;4.826841185
Astarte;Dredge;1;1;10;0.148803723;1.488037226
Astarte;Dredge;1;1;10;0.880844123;8.808441229
Astarte;Dredge;1;1;10;0.213563802;2.13563802
Astarte;Dredge;1;1;10;0.406103699;4.061036985
Astarte;Dredge;1;1;10;0.880844123;8.808441229
Astarte;Dredge;1;1;10;0.950488016;9.504880156
Astarte;Dredge;1;1;10;0.308022661;3.080226605
Astarte;Dredge;1;1;10;0.510675713;5.106757135
Astarte;Dredge;1;1;10;0.563180573;5.631805732
Astarte;Dredge;1;1;10;0.437683877;4.376838768
Astarte;Dredge;1;1;10;0.510675713;5.106757135
Astarte;Dredge;1;1;10;0.332169529;3.321695294
Astarte;Dredge;1;1;10;0.482684119;4.826841185
Astarte;Dredge;1;1;10;0.148803723;1.488037226
Astarte;Dredge;1;1;10;0.615813737;6.158137369
Astarte;Dredge;1;1;10;0.174323321;1.743233209
Astarte;Dredge;1;1;10;0.811343854;8.11343854
Astarte;Dredge;1;1;10;0.437683877;4.376838768
Astarte;Dredge;1;1;10;0.880844123;8.808441229
Astarte;Dredge;1;1;10;0.437683877;4.376838768
Astarte;Dredge;1;1;10;0.710341972;7.103419724
Astarte;Dredge;1;1;10;0.880844123;8.808441229
Astarte;Dredge;1;1;10;0.880844123;8.808441229
Astarte;Dredge;1;1;10;0.437683877;4.376838768
Astarte;Dredge;1;1;10;0.510675713;5.106757135
Astarte;Dredge;1;1;10;0.771190351;7.71190351
Astarte;Dredge;1;1;10;0.437683877;4.376838768
Astarte;Dredge;1;1;10;0.056492594;0.564925935
Astarte;Dredge;1;1;10;0.392804322;3.92804322
