Station;SAR_1317;gravel;sand;mud;percO2;depth_BC;depth_dredge;Temp;salinity;oxygen
1;2.162585151;0.103387991;0.82941412;0.067197888;45.8;81.02;80;7.4;10.7;3.6292321
2;3.463016395;0.068794753;0.897911472;0.033293775;47.6;81.6;81.65;7.6;10.7;3.7537593
3;4.724223114;0.043383579;0.918500218;0.038116202;49;81.66;81.85;7.9;11.3;3.8215398
4;0.454725287;0.00162642;0.91643165;0.08194193;33.5;73.06;73;5;8.7;2.8541745
5;0.510696367;0.00730764;0.646715582;0.345976778;9.1;76.58;76.3;5.8;9.5;0.7558648
6;0.105295444;0.161232883;0.794333952;0.044433165;9.7;83.82;83.55;6.1;9.9;0.7976109
7;0.069711731;0.011769855;0.953226427;0.035003718;12;102.06;101.95;6.5;10.6;0.9725592
8;0.111046693;0.107360387;0.829766731;0.062872882;13.8;99.9;98.95;6.5;10.5;1.1191806
9;5.44139041;0.006941276;0.885186622;0.107872103;16.53333333;92.32;92.25;6.6;10.5;1.3375739
10;2.344155189;0.004538926;0.8258574;0.169603674;36;80.28;80.125;6.633333333;10.63333333;2.9075318
11;0.738437503;0.259475692;0.607162009;0.1333623;46.83333333;76.16;76.475;6.8;10.56666667;3.7687773
12;2.018735085;0.30314741;0.672645347;0.024207243;64.23333333;79.3;78.4;6.933333333;10.13333333;5.1669213
13;0.609406146;0.084923517;0.902259163;0.01281732;62.56666667;69.8;70.425;6.2;9.266666667;5.1535594
14;0.154022835;0.235847462;0.588723593;0.175428945;56.46666667;61.9;61.625;5.666666667;8.833333333;4.7267295
15;0.039341495;0.025345071;0.931748816;0.042906113;69.96666667;71.96;73.175;5.8;9.166666667;5.8244396
16;1.238114343;0.612795063;0.347434984;0.039769953;57.66666667;76.9;76.85;7.333333333;10.7;4.5769104
17;0.81166147;0.123483391;0.826299984;0.050216625;49.93333333;75.54;76.175;7.4;11.3;3.941265
18;3.466726735;0.204755049;0.749575048;0.045669902;25.9;82.02;82.475;6.2;10.06666667;2.1221088
19;7.139497015;0.0112516;0.942323659;0.046424741;42.3;84.8;84.975;7.466666667;11.2;3.3355915
