Station,Year,Month,Day,SAR_1317,gravel,sand,mud,percO2,depth_BC,depth_dredge,Temp,salinity,oxygen,OxyigenWint,OxyigenSpring,OxyigenSummer,OxyigenAutumn,minox,maxox,BC_bio
1,2018,9,3,2.162585151,0.103387991,0.82941412,0.067197888,45.8,81.02,80,7.4,10.7,3.6292321,2.160550896,3.722349437,4.061175172,3.423215644,3.08650128,5.801678816,23.7527
2,2018,9,3,3.463016395,0.068794753,0.897911472,0.033293775,47.6,81.6,81.65,7.6,10.7,3.7537593,2.121545386,3.698144945,4.048773909,3.348646069,3.030779123,5.783962727,39.0515
3,2018,9,4,4.724223114,0.043383579,0.918500218,0.038116202,49,81.66,81.85,7.9,11.3,3.8215398,2.016854517,3.460439237,3.580804364,3.041378744,2.881220738,5.115434806,7.6786
4,2018,9,4,0.454725287,0.00162642,0.91643165,0.08194193,33.5,73.06,73,5,8.7,2.8541745,2.710232147,4.270172501,3.739074564,3.272215748,3.871760209,6.100246429,0.0043
5,2018,9,4,0.510696367,0.00730764,0.646715582,0.345976778,9.1,76.58,76.3,5.8,9.5,0.7558648,2.903286521,4.308461428,3.696048212,3.180115287,4.147552172,6.154944897,0
6,2018,9,5,0.105295444,0.161232883,0.794333952,0.044433165,9.7,83.82,83.55,6.1,9.9,0.7976109,2.754909738,3.522470474,3.172731161,2.845923559,3.93558534,5.032100677,0
7,2018,9,5,0.069711731,0.011769855,0.953226427,0.035003718,12,102.06,101.95,6.5,10.6,0.9725592,1.470635378,1.300276478,1.328377783,1.364098839,1.857537826,2.100907683,0
8,2018,9,5,0.111046693,0.107360387,0.829766731,0.062872882,13.8,99.9,98.95,6.5,10.5,1.1191806,1.4353315,1.323844274,1.330535599,1.355122193,1.891206106,2.050473571,0
9,2018,9,6,5.44139041,0.006941276,0.885186622,0.107872103,16.53333333,92.32,92.25,6.6,10.5,1.3375739,0.682901784,1.073505294,1.476558105,1.509796015,0.975573977,2.156851451,0
10,2018,9,6,2.344155189,0.004538926,0.8258574,0.169603674,36,80.28,80.125,6.633333333,10.63333333,2.9075318,2.378462036,3.519466289,3.447969437,3.055890147,3.397802909,5.027808984,0.0839
11,2018,9,6,0.738437503,0.259475692,0.607162009,0.1333623,46.83333333,76.16,76.475,6.8,10.56666667,3.7687773,2.188149603,3.615057373,3.799302689,3.198419778,3.125928005,5.42757527,11.8909
12,2018,9,6,2.018735085,0.30314741,0.672645347,0.024207243,64.23333333,79.3,78.4,6.933333333,10.13333333,5.1669213,2.160550896,3.722349437,4.061175172,3.423215644,3.08650128,5.801678816,25.0604
13,2018,9,7,0.609406146,0.084923517,0.902259163,0.01281732,62.56666667,69.8,70.425,6.2,9.266666667,5.1535594,2.660036127,4.187008492,4.415207307,3.798379771,3.80005161,6.307439009,19.1548
14,2018,9,7,0.154022835,0.235847462,0.588723593,0.175428945,56.46666667,61.9,61.625,5.666666667,8.833333333,4.7267295,3.093421213,4.68115476,4.551083692,3.958968226,4.419173161,6.687363942,5.2654
15,2018,9,7,0.039341495,0.025345071,0.931748816,0.042906113,69.96666667,71.96,73.175,5.8,9.166666667,5.8244396,2.871459079,4.502514935,4.439306545,3.841210413,4.102084398,6.432164192,10.4267
16,2018,9,8,1.238114343,0.612795063,0.347434984,0.039769953,57.66666667,76.9,76.85,7.333333333,10.7,4.5769104,2.378462036,3.519466289,3.447969437,3.055890147,3.397802909,5.027808984,5.55
17,2018,9,8,0.81166147,0.123483391,0.826299984,0.050216625,49.93333333,75.54,76.175,7.4,11.3,3.941265,2.53425343,3.705650012,3.532587751,3.166357183,3.620362043,5.293785731,1.7435
18,2018,9,8,3.466726735,0.204755049,0.749575048,0.045669902,25.9,82.02,82.475,6.2,10.06666667,2.1221088,2.062406572,3.097603496,3.099442879,2.75643158,2.946295102,4.427775542,2.8959
19,2018,9,8,7.139497015,0.0112516,0.942323659,0.046424741,42.3,84.8,84.975,7.466666667,11.2,3.3355915,1.788335796,3.305967855,3.595084953,2.99781394,2.554765423,5.135835648,3.048
