Station,Replicate,ID,layer,Pygospio elegans,Astarte eliptica,Scoloplos armiger,Pontoporeia femorata,Diastylis,Nematoda,Macoma balthica,Aricidea catherinae,Harmothoe sarsi ,Unidentified,Nereis diveriscolor,Terebellides stroemi,Ostracoda,Streblospio benedicti,Jaera,Haliqruptus spinulosus
1,2,2 cm,1,1,1,1,,,,,,,,,,,,,
1,5,2 cm,1,2,1,,1,1,1,1,,,,,,,,,
2,1,2 cm,1,1,8,,,,1,1,1,3,,,,,,,
3,2,2 cm,1,,,,,,3,1,,,,1,1,,,,
7,2,2 cm,1,,,,,,7,,,,,,,,,,
11,1,2 cm,1,,,,,,1,,,,,,,,,,
11,2,2 cm,1,,,,,,1,,,,,,,,,,
12,1,2 cm,1,2,,,,,4,,,3,,,,,2,,
12,2,2 cm,1,,1,,,,,,,,,,,,,,
13,1,2 cm,1,,,,,,1,,,,,2,,,,,
13,2,2 cm,1,,,,,,,,,,,1,,1,1,,
13,3,2 cm,1,1,,,,,1,,,,,,,,,,
14,2,2 cm,1,,,,,,,1,,,,,,,,,
15,1,2 cm,1,2,,1,,,,,,,1,2,,,5,,
15,2,2 cm,1,4,,,,,,3,,2,,,,,,,
16,2,2 cm,1,,,1,,,3,,,,,,,,1,,
17,2,2 cm,1,,,1,,,,,,,,,,,1,,
18,1,2 cm,1,,,,,,1,1,,,,,,,,,
19,1,2 cm,1,,,,,,2,,1,,,,,,,,2
19,2,2 cm,1,2,,1,,,1,,,,,,,,,,
3,1,2cm,1,,,,,,2,1,,,,,,,,,
1,2,4 cm,3,1,,,,,,,,,,,,,,,
1,5,4 cm,3,,,,1,,,,1,,,,,,,,
2,1,4 cm,3,3,,1,,,,,2,,,,,,,,
2,3,4 cm,3,,1,,,,,,,,,,,,,,
10,2,4 cm,3,1,,,,,,,,,,,,,,,
12,2,4 cm,3,2,,,,,,,,,,,,,,,
13,2,4 cm,3,,,,,,,1,,,,,,1,,,
13,3,4 cm,3,,,,,,1,,,,,,,,2,,
15,2,4 cm,3,1,,,,,,,,1,,,,1,,,
17,2,4 cm,3,1,,,,,,,,,,,,,,,
19,2,4 cm,3,2,,,,,1,,1,,,,,,,,
2,1,8 cm,6,,,,,,,,2,,,,,,,,
6,1,8 cm,6,,,,,,,,,,,,,1,,,
11,2,8 cm,6,,,,,,,,,,,1,,,,,
12,1,8 cm,6,,,,,,,,1,,,,,,,,
12,2,8 cm,6,1,,,,,,,,,,,,,,,
13,2,8 cm,6,1,,,,,,,,,,,,,1,,
13,3,8 cm,6,,,,,,,,,,,,,1,,,
19,1,8 cm,6,,,,,,,1,1,,,,,,,,
2,3,tot,8,,,,,,1,,,,,,,,,,
3,1,tot,8,,,,,,,,,,1,,,,,,
3,2,tot,8,,,,,,1,,,,,,,,,,
16,2,tot,8,,,,,,,,,,,,,,,1,
